epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
95,263.247,0.66809,0.35562,0.95934,0.99791,1,0.995,0.82801,0.64697,0.29492,0.95504,0.0005347,0.0005347,0.0005347
96,265.784,0.65409,0.35145,0.9539,0.99747,1,0.995,0.82031,0.66,0.30575,0.96982,0.00052975,0.00052975,0.00052975
97,268.27,0.68182,0.36639,0.96776,0.99783,1,0.995,0.8282,0.64213,0.29386,0.96496,0.0005248,0.0005248,0.0005248
98,270.774,0.66458,0.34932,0.95,0.99749,1,0.995,0.82181,0.64489,0.30154,0.97061,0.00051985,0.00051985,0.00051985
99,273.316,0.66539,0.35643,0.9609,0.99713,1,0.995,0.82254,0.63971,0.30841,0.96062,0.0005149,0.0005149,0.0005149
100,275.883,0.66144,0.34355,0.94856,0.99723,1,0.995,0.8242,0.62338,0.28689,0.95916,0.00050995,0.00050995,0.00050995
101,278.38,0.66396,0.33998,0.955,0.99761,1,0.995,0.83589,0.63326,0.30571,0.9561,0.000505,0.000505,0.000505
102,280.95,0.65416,0.34462,0.95472,0.99755,1,0.995,0.82164,0.63379,0.29204,0.96979,0.00050005,0.00050005,0.00050005
103,283.479,0.66983,0.34154,0.95179,0.99715,1,0.995,0.82227,0.65795,0.30068,0.96762,0.0004951,0.0004951,0.0004951
104,286.024,0.68392,0.38955,0.97046,0.99769,1,0.995,0.8315,0.6434,0.30122,0.96036,0.00049015,0.00049015,0.00049015
105,288.627,0.66852,0.35845,0.96358,0.99767,1,0.995,0.83188,0.63054,0.2963,0.95077,0.0004852,0.0004852,0.0004852
106,291.246,0.67319,0.35555,0.95823,0.99742,1,0.995,0.83212,0.63897,0.29368,0.96125,0.00048025,0.00048025,0.00048025
107,293.816,0.65404,0.35766,0.95603,0.99785,1,0.995,0.84344,0.63073,0.28244,0.9637,0.0004753,0.0004753,0.0004753
108,296.326,0.659,0.34838,0.95002,0.99777,1,0.995,0.82798,0.63452,0.28072,0.95758,0.00047035,0.00047035,0.00047035
109,298.834,0.67013,0.36036,0.95571,0.99789,1,0.995,0.82468,0.67478,0.28236,0.96715,0.0004654,0.0004654,0.0004654
110,301.402,0.6444,0.34485,0.94075,0.9974,1,0.995,0.83905,0.64501,0.2975,0.95891,0.00046045,0.00046045,0.00046045
111,304.013,0.65012,0.33663,0.93314,0.99735,1,0.995,0.83717,0.65037,0.28601,0.9715,0.0004555,0.0004555,0.0004555
112,306.58,0.66572,0.35462,0.95689,0.99793,1,0.995,0.8344,0.6462,0.29511,0.96531,0.00045055,0.00045055,0.00045055
113,309.068,0.67884,0.37412,0.96683,0.99786,1,0.995,0.83534,0.63579,0.27526,0.95234,0.0004456,0.0004456,0.0004456
114,311.6,0.64744,0.34997,0.9523,0.99794,1,0.995,0.82741,0.64066,0.2865,0.95691,0.00044065,0.00044065,0.00044065
115,314.101,0.64525,0.33872,0.94953,0.99782,1,0.995,0.84325,0.62035,0.27283,0.95109,0.0004357,0.0004357,0.0004357
116,316.666,0.6541,0.34618,0.94599,0.99734,1,0.995,0.84645,0.62426,0.28666,0.95102,0.00043075,0.00043075,0.00043075
117,319.247,0.63389,0.33852,0.93361,0.99783,1,0.995,0.83414,0.63219,0.27818,0.95806,0.0004258,0.0004258,0.0004258
118,321.772,0.64937,0.34064,0.94985,0.99751,1,0.995,0.83477,0.64177,0.28275,0.96405,0.00042085,0.00042085,0.00042085
119,324.348,0.6322,0.32675,0.94088,0.99813,1,0.995,0.83175,0.61011,0.28091,0.95408,0.0004159,0.0004159,0.0004159
120,326.826,0.61999,0.32411,0.9393,0.99804,1,0.995,0.83711,0.62229,0.27236,0.95371,0.00041095,0.00041095,0.00041095
121,329.386,0.63514,0.32979,0.93616,0.99729,1,0.995,0.83136,0.6408,0.276,0.96149,0.000406,0.000406,0.000406
122,331.961,0.63668,0.338,0.94248,0.9977,1,0.995,0.83561,0.61966,0.27265,0.952,0.00040105,0.00040105,0.00040105
123,334.524,0.63625,0.32885,0.93577,0.99743,1,0.995,0.8356,0.62044,0.27686,0.94766,0.0003961,0.0003961,0.0003961
124,337.049,0.62497,0.33037,0.94022,0.99771,1,0.995,0.83108,0.61582,0.27388,0.9603,0.00039115,0.00039115,0.00039115
125,339.556,0.63498,0.33478,0.9375,0.99769,1,0.995,0.82337,0.64594,0.28074,0.96972,0.0003862,0.0003862,0.0003862
126,342.017,0.63433,0.32729,0.93866,0.99775,1,0.995,0.83561,0.64612,0.2753,0.96289,0.00038125,0.00038125,0.00038125
127,344.552,0.64483,0.33397,0.94486,0.99779,1,0.995,0.83371,0.63662,0.27964,0.96204,0.0003763,0.0003763,0.0003763
128,347.041,0.63509,0.33837,0.94502,0.9976,1,0.995,0.82546,0.66138,0.29184,0.96889,0.00037135,0.00037135,0.00037135
129,349.601,0.62896,0.33564,0.94044,0.99755,1,0.995,0.83158,0.61794,0.26829,0.9536,0.0003664,0.0003664,0.0003664
130,352.11,0.62867,0.32199,0.94222,0.99776,1,0.995,0.8376,0.59581,0.26267,0.93884,0.00036145,0.00036145,0.00036145
131,354.65,0.6251,0.31691,0.92735,0.9976,1,0.995,0.83844,0.60556,0.26832,0.94525,0.0003565,0.0003565,0.0003565
132,357.154,0.62963,0.31868,0.93527,0.99885,1,0.995,0.83723,0.61859,0.27551,0.9457,0.00035155,0.00035155,0.00035155
133,359.675,0.62039,0.32241,0.94376,0.99767,1,0.995,0.83771,0.61697,0.26147,0.94286,0.0003466,0.0003466,0.0003466
134,362.205,0.61216,0.31633,0.94021,0.9979,1,0.995,0.8366,0.61028,0.26489,0.94754,0.00034165,0.00034165,0.00034165
135,364.71,0.61886,0.31862,0.93197,0.99765,1,0.995,0.83346,0.61751,0.28549,0.9549,0.0003367,0.0003367,0.0003367
136,367.197,0.62162,0.32489,0.93651,0.99774,1,0.995,0.83747,0.62621,0.27902,0.95641,0.00033175,0.00033175,0.00033175
